고유번호,구명,품계수종,수고,관리등급,위치,구번호,전선유무,순번,품계활력,흉고지름,품계위치,수관너비,관리기관,수목고유번호,보호덮개,가로명,품계흉고,수목명,경도,위도,피해정도
1813,중구,8,15,2,경찰서,2,2,73,8,22,9,7,공원녹지과,2-마장로-가-0073,1,마장로,6,은행나무,127.0143561,37.5681119,2
1814,중구,8,9,2,한국은행,2,2,21,8,14,12,10,공원녹지과,2-태평로-가-0021,2,태평로,3,느티나무,126.9762922,37.561435,2
1815,중구,4,12,1,동국대,2,1,123,8,15,12,8,공원녹지과,2-홍인문로-가-0118,1,홍인문로,12,은행나무,127.0052883,37.5596113,2
1816,중구,8,16,1,동국대,2,2,379,8,26,12,8,공원녹지과,2-훈련원로-가-0381,1,훈련원로,6,은행나무,127.0027102,37.5594492,2
1817,중구,8,19,1,남대문시장,2,2,91,8,22,12,7,공원녹지과,2-남대문로-가-0091,1,남대문로,6,은행나무,126.9784809,37.5610116,2
1818,중구,8,14,2,쌍용자동차,2,2,116,8,14,12,4,공원녹지과,2-동호로-가-0116,1,동호로,3,은행나무,127.0084566,37.5580514,2
1819,중구,8,13,2,남산빌딩,2,2,22,8,21,9,9,공원녹지과,2-소파길-가-0022,1,소파길,6,은행나무,126.9869165,37.5577594,2
1820,중구,8,18,1,다등빌딩,2,2,203,8,26,12,10,공원녹지과,2-남대문로-가-0209,1,남대문로,6,은행나무,126.9825808,37.5684594,2
1821,중구,8,16,1,시티은행,2,2,255,8,24,12,9,공원녹지과,2-청계천로-가-0255,1,청계천로,6,은행나무,126.9782913,37.5689485,2
1822,중구,8,12,2,제일상호금고,2,2,149,8,15,12,5,공원녹지과,2-홍인문로-가-0144,1,홍인문로,3,은행나무,127.0059812,37.560896,2
1663,중구,8,10,2,조이마트,2,1,131,8,26,6,6,공원녹지과,2-마른내길-가-0131,1,마른내길,6,은행나무,126.9906483,37.5647604,2
1666,중구,8,12,2,동국대,2,2,45,8,13,12,7,공원녹지과,2-훈련원로-가-0045,1,훈련원로,3,은행나무,127.0031342,37.559268,2
1667,중구,4,4,1, ,2,2,1,8,12,12,3,공원녹지과,2-수표다릿길-가-00098,1,수표다릿길,0,이팝나무,126.9896483,37.5666403,2
1942,중구,4,29,1,덕수궁(태평로),2,2,256,8,31,12,15,공원녹지과,2-태평로-가-0256,1,태평로,9,양버즘나무,126.9768545,37.5654828,2
1943,중구,8,21,2,정동교회,2,2,207,8,30,6,10,공원녹지과,2-덕수궁길-가-0203,1,덕수궁길,6,은행나무,126.9726619,37.5656402,2
1944,중구,8,12,1,현대투신,2,2,8,8,24,12,13,공원녹지과,2-명동길-가-0008,1,명동길,6,느티나무,126.9841687,37.5637798,2
1945,중구,4,4,1, ,2,2,1,8,12,12,3,공원녹지과,2-수표다릿길-가-000153,1,수표다릿길,0,이팝나무,126.9904084,37.5619113,2
1946,중구,8,14,1,남대문빌딩,2,2,32,8,31,9,9,공원녹지과,2-의주로-가-0032,1,의주로,9,은행나무,126.9711101,37.560267,2
1947,중구,8,13,1,서울역,2,2,177,8,26,12,6,공원녹지과,2-의주로-가-0177,1,의주로,6,은행나무,126.9712919,37.5586206,2
1948,중구,8,7,2,삼성APT,2,2,251,8,20,6,4,공원녹지과,2-금호동길-가-0251,1,금호동길,3,은행나무,127.0172288,37.5593868,2
1949,중구,8,12,2,명신의원,2,2,189,8,25,9,7,공원녹지과,2-동호로-가-0189,1,동호로,6,은행나무,127.01101,37.5541079,2
1950,중구,8,14,2,약수사거리,2,2,1,8,28,9,10,공원녹지과,2-동호로-가-0001,1,동호로,6,은행나무,127.0126876,37.5525763,2
1951,중구,8,24,2,명보프라자,2,2,206,8,25,6,10,공원녹지과,2-마른내길-가-0206,1,마른내길,6,은행나무,126.9921744,37.564339,2
1952,중구,8,9,2,보영약국,2,2,299,8,16,6,6,공원녹지과,2-마른내길-가-0299,1,마른내길,3,은행나무,127.0052651,37.5646517,2
1953,중구,4,13,3,영미상가,2,2,24,8,26,6,6,공원녹지과,2-마장로-가-0024,1,마장로,6,은행나무,127.0207832,37.5683402,2
1954,중구,8,3,2,한국통신,2,2,247,8,8,12,3,공원녹지과,2-다산로-가-0254,1,다산로,3,회화나무,127.0162749,37.5669493,2
1955,중구,8,13,1,서소문공원,2,2,43,8,27,12,6,공원녹지과,2-칠패길-가-0043,1,칠패길,6,은행나무,126.9696509,37.559584,2
1956,중구,8,14,1,남산,2,2,33,8,36,9,9,공원녹지과,2-소파길-가-0033,1,소파길,9,은행나무,126.9862241,37.5572993,2
1957,중구,8,20,2,남산,2,2,2,6,37,9,11,공원녹지과,2-소파길-가-0002,1,소파길,9,은행나무,126.9883154,37.5604611,1
1958,중구,8,12,2,동국대,2,2,42,8,19,12,7,공원녹지과,2-훈련원로-가-0042,1,훈련원로,3,은행나무,127.0032728,37.5591589,2
1959,중구,8,16,2,흥인사거리,2,2,185,6,22,9,6,공원녹지과,2-마장로-가-0185,1,마장로,6,은행나무,127.0145652,37.5679513,2
1960,중구,8,19,2,삼성본관,2,2,360,8,29,9,13,공원녹지과,2-태평로-가-0365,1,태평로,6,은행나무,126.9747781,37.5623104,2
1961,중구,8,6,2, ,2,1,115,8,12,6,5,공원녹지과,2-서애길-가-0115,1,서애길,3,왕벚나무,126.995989,37.557403,0.00E+00
1962,중구,4,23,1,국민은행,2,2,21,8,38,12,9,공원녹지과,2-왕십리길-가-0021,1,왕십리길,9,양버즘나무,127.0209613,37.5657373,2
1963,중구,8,9,2,현대투신,2,2,15,8,18,12,12,공원녹지과,2-명동길-가-0015,1,명동길,3,느티나무,126.9838833,37.5636504,1
1964,중구,8,26,2,조이마트,2,1,133,8,26,6,7,공원녹지과,2-마른내길-가-0133,1,마른내길,6,은행나무,126.9904882,37.5648027,2
1848,중구,8,5,2, ,2,1,124,8,12,6,6,공원녹지과,2-서애길-가-0124,1,서애길,3,왕벚나무,126.996125,37.5581069,0.00E+00
1851,중구,4,17,2,쁘렝땅,2,2,83,8,24,12,8,공원녹지과,2-삼일로-가-0084,1,삼일로,6,양버즘나무,126.9874288,37.5656093,2
1852,중구,8,9,2,보영약국,2,2,297,8,18,6,6,공원녹지과,2-마른내길-가-0297,1,마른내길,3,은행나무,127.0051642,37.5646635,2
1853,중구,4,11,3,영미상가,2,1,233,8,25,6,6,공원녹지과,2-마장로-가-0233,1,마장로,6,은행나무,127.0212043,37.5681794,2
1854,중구,8,17,2,평화빌딩,2,1,168,8,28,6,8,공원녹지과,2-마른내길-가-0168,1,마른내길,6,은행나무,126.9890507,37.5646556,2
1855,중구,4,10,2,sk텔레콤,2,1,2,8,20,9,5,공원녹지과,2-배오개길-가-0002,1,배오개길,9,소나무,126.9985881,37.5625791,0.00E+00
1856,중구,8,17,2,쁘렝땅,2,2,78,8,20,12,7,공원녹지과,2-삼일로-가-0079,1,삼일로,3,은행나무,126.9873736,37.5665484,2
1857,중구,4,15,3,저동빌딩,2,2,148,4,23,6,4,공원녹지과,2-마른내길-가-0148,1,마른내길,6,은행나무,126.9890235,37.5647423,1
1858,중구,8,21,1,삼성화재,2,2,228,8,25,12,8,공원녹지과,2-을지로-가-0228,1,을지로,6,은행나무,126.9819095,37.5661213,2
1859,중구,8,24,1,부산은행,2,2,8,8,32,9,16,공원녹지과,2-무교동길-가-0008,1,무교동길,9,은행나무,126.9792786,37.5665772,2
1860,중구,8,18,2,남산,2,2,101,6,30,9,6,공원녹지과,2-소파길-가-0101,1,소파길,6,은행나무,126.9809069,37.5552748,1
1861,중구,8,10,1,중림정육점,2,1,115,8,30,12,7,공원녹지과,2-청파로-가-0140,1,청파로,6,은행나무,126.9692019,37.5582315,2
1862,중구,8,9,1,농협,2,2,39,8,26,12,8,공원녹지과,2-새문안길-가-0039,1,새문안길,6,은행나무,126.9672325,37.5656471,2
1863,중구,4,6,1, ,2,2,43,8,20,12,6,공원녹지과,2-청계천로-가-0033,1,청계천로,12,느티나무,126.999705,37.5690275,2
1864,중구,8,10,2,조광인쇄,2,2,37,8,22,6,6,공원녹지과,2-을지로-가-0544,1,태평로1가로,6,은행나무,126.9857083,37.5665195,2
1865,중구,8,9,2,남대문빌딩,2,2,3,8,18,6,6,공원녹지과,2-칠패길-가-0003,1,칠패길,3,은행나무,126.9733448,37.560258,2
1866,중구,8,14,2,광신교효,2,2,68,6,20,12,6,공원녹지과,2-훈련원로-가-0068,1,훈련원로,3,은행나무,127.0030472,37.5604228,2
1867,중구,8,19,1,연세빌딩,2,2,12,8,29,12,10,공원녹지과,2-남대문로-가-0015,1,남대문로,6,은행나무,126.9733453,37.5576617,2
1868,중구,8,10,1,우리은행,2,2,31,8,26,12,7,공원녹지과,2-반포로-가-0031,1,반포로,6,소나무,126.9822263,37.5597636,2
1869,중구,4,10,2,포스코,2,2,48,8,25,9,5,공원녹지과,2-숭례성터길-가-048,1,숭례성터길,9,소나무,126.9715537,37.5610065,0.00E+00
1870,중구,4,8,2,흥국빌딩,2,2,246,8,29,12,6,공원녹지과,2-소파길-가-0246,1,소파길,6,양버즘나무,126.9901083,37.5603287,2
1871,중구,8,15,2,약수사거리,2,2,83,8,24,9,6,공원녹지과,2-동호로-가-0083,1,동호로,6,은행나무,127.0099054,37.5560392,2
1872,중구,8,20,2,부일수퍼,2,1,141,8,32,6,10,공원녹지과,2-금호동길-가-0141,2,금호동길,9,은행나무,127.0101993,37.5636344,2
1873,중구,8,15,2,남산,2,2,41,8,23,9,8,공원녹지과,2-소월길-가-0041,1,소월길,6,은행나무,126.9779527,37.5550777,2
1874,중구,8,10,1,신안빌딩,2,2,118,8,22,12,7,공원녹지과,2-훈련원로-가-0118,1,훈련원로,6,은행나무,127.0028535,37.5619557,2
1875,중구,8,15,2,부일수퍼,2,1,160,8,27,6,8,공원녹지과,2-금호동길-가-0160,1,금호동길,6,은행나무,127.0103456,37.561953,2
1876,중구,4,10,1,동대후문입구,2,2,468,8,25,12,5,공원녹지과,2-퇴계로-가-0468,1,퇴계로,9,소나무,126.9992484,37.5622922,0.00E+00
1877,중구,8,8,2,삼성APT,2,2,273,8,20,6,5,공원녹지과,2-금호동길-가-0273,1,금호동길,3,은행나무,127.0185094,37.5598313,2
1878,중구,8,22,1,TBS교통방송,2,1,193,8,40,9,18,공원녹지과,2-소파길-가-0193,1,소파길,9,은행나무,126.9882559,37.5595432,2
1879,중구,8,14,1,TBS교통방송,2,2,208,8,30,12,6,공원녹지과,2-소파길-가-0208,1,소파길,6,은행나무,126.9894775,37.5598657,2
1880,중구,4,4,1, ,2,2,1,8,12,12,3,공원녹지과,2-수표다릿길-가-000158,1,수표다릿길,0,이팝나무,126.9904616,37.561586,2
1881,중구,8,3,2,정동극장,2,2,72,8,10,6,3,공원녹지과,2-덕수궁길-가-0071,1,덕수궁길,3,느티나무,126.9728008,37.5656715,2
1882,중구,8,20,2,서울특별시별관,2,1,285,8,22,3,14,공원녹지과,2-덕수궁길-가-0281,1,덕수궁길,6,은행나무,126.9758887,37.5648342,2
1883,중구,8,25,1,시그너스빌딩,2,2,27,8,35,9,14,공원녹지과,2-무교동길-가-0027,1,무교동길,9,은행나무,126.9793116,37.5675722,2
